Seq.,Organização,Unidade,Monitoramento,Iniciativas,Serviço,"Designador do 
 Serviço","Mantenedor do 
 Serviço",Valor acordado do SLA (%),,IDS (%),,IDSA (%),
,,,,,,,,Mensal,"Acumulado 
 12 Meses",Mensal,"Acumulado 
 12 Meses",Mensal,"Acumulado 
 12 Meses"
1,ACAFE,Sede,Disponibilidade ACAFE Florianópolis,REMEP-FLN,Conectividade à REMEP,#7328,REMEP-FLN,996.000,998.500,1.000.000,1.000.000,1.000.000,998.048
2,CBMSC,Centro de Ensino Bombeiro Militar,Disponibilidade Centro de Ensino Bombeiro Militar,REMEP-FLN,Conectividade à REMEP,#7374,REMEP-FLN,996.000,998.500,1.000.000,1.000.000,1.000.000,999.791
3,CERTI,CELTA,Disponibilidade CERTI Celta,REMEP-FLN,Conectividade à REMEP,#7357,REMEP-FLN,996.000,998.500,1.000.000,999.749,1.000.000,999.642
4,CERTI,CERTI ISI,Disponibilidade CERTI ISI,REMEP-FLN,Conectividade à REMEP,#7359,REMEP-FLN,992.000,996.000,1.000.000,1.000.000,1.000.000,999.978
5,CERTI,Certinho,Disponibilidade CERTI Certinho,REMEP-FLN,Conectividade à REMEP,#2290,REMEP-FLN,992.000,996.000,1.000.000,999.981,1.000.000,998.839
6,CERTI,Inovalab,Disponibilidade CERTI Inovalab,REMEP-FLN,Conectividade à REMEP,#7352,REMEP-FLN,996.000,998.500,1.000.000,999.966,1.000.000,999.955
7,CERTI,Sede,Disponibilidade CERTI Sede,REMEP-FLN,Conectividade à REMEP,#7302,REMEP-FLN,996.000,998.500,1.000.000,1.000.000,1.000.000,999.989
8,CI,Blumenau / GENE,Disponibilidade: Instituto GENE,REMEP-BNU,Conectividade à REMEP-BLUMENAU,-,REMEP-BNU,992.000,995.000,998.333,999.861,998.333,999.757
9,CI,Pollen Parque Científico e Tecnológico Chapecó,Disponibilidade: Pollen Parque Chapecó,REMEP-CCO,Conectividade à REMEP CHAPECÓ,-,REMEP-CCO,996.000,998.500,1.000.000,999.879,1.000.000,999.649
10,CIASC,Sede,Disponibilidade CIASC Sede,REMEP-FLN,Conectividade à REMEP,#7339,REMEP-FLN,996.000,998.500,1.000.000,1.000.000,1.000.000,999.991
11,Cidasc,Sede,Disponibilidade CIDASC Sede,REMEP-FLN,Conectividade à REMEP,#7322,REMEP-FLN,996.000,998.500,1.000.000,1.000.000,1.000.000,999.991
12,Cidasc,São José,Disponibilidade CIDASC São José,REMEP-FLN,Conectividade à REMEP,#7360,REMEP-FLN,996.000,998.500,1.000.000,999.987,1.000.000,999.330
13,EBSERH,Hospital Universitário Polydoro Ernani de São Thiago,Disponibilidade UFSC HU,REMEP-FLN,Conectividade à REMEP,#7306,REMEP-FLN,996.000,998.500,1.000.000,1.000.000,1.000.000,999.989
14,Embrapa,Embrapa Concórdia,Disponibilidade Unidade: EMBRAPA Concórdia,RNP,Conectividade via RNP,3639,ALT,996.000,996.000,999.699,999.942,999.699,999.897
15,Epagri,EPAGRI CEPAF Chapecó,Disponibilidade: Epagri CEPAF Chapecó,REMEP-CCO,Conectividade à REMEP CHAPECÓ,-,REMEP-CCO,996.000,998.500,1.000.000,999.865,989.144,998.951
16,Epagri,EPAGRI Escritório Chapecó,Disponibilidade EPAGRI Escritório,REMEP-CCO,Conectividade à REMEP CHAPECÓ,-,REMEP-CCO,996.000,998.500,999.851,996.077,999.851,995.939
17,Epagri,Sede,Disponibilidade EPAGRI Sede,REMEP-FLN,Conectividade à REMEP,#7309,REMEP-FLN,996.000,998.500,1.000.000,1.000.000,1.000.000,999.965
18,Epagri,São José,Disponibilidade EPAGRI São José,REMEP-FLN,Conectividade à REMEP,#7361,REMEP-FLN,996.000,998.500,1.000.000,999.987,1.000.000,999.330
19,Estácio,Florianópolis,Disponibilidade ESTÁCIO Florianópolis,REMEP-FLN,Conectividade à REMEP,#7326,REMEP-FLN,996.000,998.500,1.000.000,1.000.000,1.000.000,991.621
20,Estácio,São José,Disponibilidade ESTÁCIO São José,REMEP-FLN,Conectividade à REMEP,#7341,REMEP-FLN,996.000,998.500,1.000.000,1.000.000,1.000.000,999.989
21,FEESC,Bridge/UFSC,Disponibilidade FEESC LabBridge,REMEP-FLN,Conectividade à REMEP,#7307,REMEP-FLN,996.000,998.500,1.000.000,1.000.000,1.000.000,999.373
22,FEESC,FEESC Sede,Disponibilidade FEESC Sede,REMEP-FLN,Conectividade à REMEP,#7344,REMEP-FLN,996.000,998.500,1.000.000,1.000.000,1.000.000,999.989
23,FEPESE,LabTrans Max & Flora,Disponibilidade FEPESE LabTrans,REMEP-FLN,Conectividade à REMEP,-,REMEP-FLN,996.000,998.500,1.000.000,1.000.000,1.000.000,999.373
24,FEPESE,Laboratório Max & Flora,Disponibilidade FEPESE Laboratório,REMEP-FLN,Conectividade à REMEP,#2285,REMEP-FLN,996.000,998.500,1.000.000,997.493,1.000.000,997.493
25,FEPESE,Sede,Disponibilidade FEPESE Sede,REMEP-FLN,Conectividade à REMEP,#7327,REMEP-FLN,996.000,998.500,1.000.000,1.000.000,1.000.000,999.989
26,FURB,FURB - Campus I,Disponibilidade: FURB Blumenau,REMEP-BNU,Conectividade à REMEP-BLUMENAU,-,REMEP-BNU,996.000,998.500,1.000.000,999.869,1.000.000,999.770
27,Fapesc,Sede,Disponibilidade FAPESC Sede,REMEP-FLN,Conectividade à REMEP,#7330,REMEP-FLN,996.000,998.500,1.000.000,999.749,1.000.000,999.732
28,Fiesc,IEL CEEL,Disponibilidade FIESC CEEL/IEL,REMEP-FLN,Conectividade à REMEP,#7356,REMEP-FLN,996.000,998.500,1.000.000,999.246,1.000.000,999.019
29,Fiesc,Instituto SENAI de Inovação em Sistemas Embarcados,Disponibilidade FIESC SENAI ISI,REMEP-FLN,Conectividade à REMEP,#7321,REMEP-FLN,992.000,996.000,1.000.000,1.000.000,1.000.000,999.978
30,Fiesc,SENAI Florianópolis (CTAI),Disponibilidade FIESC SENAI CTAI,REMEP-FLN,Conectividade à REMEP,#7320,REMEP-FLN,996.000,998.500,1.000.000,999.749,1.000.000,984.214
31,Fiesc,SENAI Palhoça,Disponibilidade FIESC SENAI Palhoça,REMEP-FLN,Conectividade à REMEP,#7329,REMEP-FLN,996.000,998.500,1.000.000,995.070,1.000.000,994.804
32,Fiesc,SENAI São José,Disponibilidade FIESC SENAI São José,REMEP-FLN,Conectividade à REMEP,#7335,REMEP-FLN,992.000,996.000,1.000.000,1.000.000,1.000.000,998.384
33,Fiesc,SESI São José,Disponibilidade FIESC SESI São José,REMEP-FLN,Conectividade à REMEP,#7343,REMEP-FLN,996.000,998.500,1.000.000,995.447,1.000.000,995.054
34,Fiesc,Sede,Disponibilidade FIESC Sede,REMEP-FLN,Conectividade à REMEP,#7332,REMEP-FLN,996.000,998.500,1.000.000,1.000.000,1.000.000,999.875
35,HC,Hospital da Criança,Disponibilidade: HC Chapecó,REMEP-CCO,Conectividade à REMEP CHAPECÓ,-,REMEP-CCO,992.000,995.000,1.000.000,988.950,1.000.000,988.592
36,HRO,HRO Chapecó,Disponibilidade: HRO Chapecó,REMEP-CCO,Conectividade à REMEP CHAPECÓ,-,REMEP-CCO,992.000,995.000,1.000.000,999.978,1.000.000,999.978
37,IFC,Abelardo Luz,Disponibilidade Unidade: IFC Abelardo Luz,RNP,Conectividade via RNP,3644,ALT,996.000,996.000,1.000.000,989.284,935.602,976.348
38,IFC,Araquari,Disponibilidade Unidade: IFC Araquari,RNP,Conectividade via RNP,3504,ALT,996.000,996.000,1.000.000,999.942,1.000.000,983.208
39,IFC,Brusque,Disponibilidade Unidade: IFC Brusque,RNP,Conectividade via RNP,3645,ALT,996.000,996.000,999.421,999.952,999.421,999.875
40,IFC,Camboriú,Disponibilidade Unidade: IFC Camboriu,RNP,Conectividade via RNP,3503,ALT,996.000,996.000,991.250,996.823,988.796,977.425
41,IFC,Concórdia,Disponibilidade Unidade: IFC Concordia,RNP,Conectividade via RNP,3706,ALT,996.000,996.000,1.000.000,997.694,1.000.000,996.717
42,IFC,Fraiburgo,Disponibilidade Unidade: IFC Fraiburgo,RNP,Conectividade via RNP,3910,MHNET,996.000,996.000,1.000.000,998.115,1.000.000,998.100
43,IFC,IFC Blumenau,Disponibilidade: IFC Blumenau,REMEP-BNU,Conectividade à REMEP BLUMENAU,-,REMEP-BNU,996.000,998.500,1.000.000,999.909,1.000.000,998.550
44,IFC,IFC Reitoria,Disponibilidade: IFC Reitoria,REMEP-BNU,Conectividade à REMEP BLUMENAU,-,REMEP-BNU,996.000,998.500,1.000.000,999.911,1.000.000,999.669
45,IFC,IFC Reitoria Anexo,Disponibilidade: IFC Anexo,REMEP-BNU,Conectividade à REMEP BLUMENAU,-,REMEP-BNU,992.000,995.000,1.000.000,1.000.000,1.000.000,1.000.000
46,IFC,Ibirama,Disponibilidade Unidade: IFC Ibirama,RNP,Conectividade via RNP,3602,ALT,996.000,996.000,995.185,998.755,994.861,998.523
47,IFC,Luzerna,Disponibilidade Unidade: IFC Luzerna,"RCT,RNP",Conectividade via RNP e RCT,"3709, 8002",ALT,996.000,996.000,1.000.000,999.985,1.000.000,997.819
48,IFC,Rio do Sul - Sede,Disponibilidade Unidade: IFC Rio Do Sul - Sede,RNP,Conectividade via RNP,3508,ALT,996.000,996.000,1.000.000,998.693,1.000.000,998.693
49,IFC,Rio do Sul - Tecnológica,Disponibilidade Unidade: IFC Rio Do Sul - Unidade Tecnológica,RNP,Conectividade via RNP,3646,ALT,996.000,996.000,1.000.000,999.535,1.000.000,999.526
50,IFC,Rio do Sul - Urbana,Disponibilidade Unidade: IFC Rio Do Sul - Urbana,"RCT,RNP",Conectividade via RNP e RCT,"3612, 8013",ALT,996.000,996.000,1.000.000,996.245,1.000.000,996.234
51,IFC,Santa Rosa,Disponibilidade Unidade: IFC Santa Rosa,RNP,Conectividade via RNP,3807,ALT,996.000,996.000,999.838,999.932,999.329,996.536
