"Relatório de Disponibilidade - Unidades (REMEP-FLN, PoP-SC/RNP e PARCs)",,,,,,,,,,,,,
Relatório Mensal de Disponibilidade das Unidades Organizacionais,,,,,,,,,,,,,
Período de 01/09/2025 a 30/09/2025,,,,,,,,,,,,,
RESUMO EXECUTIVO,,,,,,,,,,,,,
,,,,,,,,,,,,,
Seq.,Organização,Unidade,Monitoramento,Iniciativas,Serviço,"Designador do 
Serviço","Mantenedor do 
Serviço",Valor acordado do SLA (%),,IDS (%),,IDSA (%),
,,,,,,,,Mensal,"Acumulado 
12 Meses",Mensal,"Acumulado 
12 Meses",Mensal,"Acumulado 
12 Meses"
1,ACAFE,Sede,Disponibilidade ACAFE Florianópolis,REMEP-FLN,Conectividade à REMEP,#7328,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.8048
2,CBMSC,Centro de Ensino Bombeiro Militar,Disponibilidade Centro de Ensino Bombeiro Militar,REMEP-FLN,Conectividade à REMEP,#7374,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9791
3,CERTI,CELTA,Disponibilidade CERTI Celta,REMEP-FLN,Conectividade à REMEP,#7357,REMEP-FLN,99.6000,99.8500,100.0000,99.9749,100.0000,99.9642
4,CERTI,CERTI ISI,Disponibilidade CERTI ISI,REMEP-FLN,Conectividade à REMEP,#7359,REMEP-FLN,99.2000,99.6000,100.0000,100.0000,100.0000,99.9978
5,CERTI,Certinho,Disponibilidade CERTI Certinho,REMEP-FLN,Conectividade à REMEP,#2290,REMEP-FLN,99.2000,99.6000,100.0000,99.9981,100.0000,99.8839
6,CERTI,Inovalab,Disponibilidade CERTI Inovalab,REMEP-FLN,Conectividade à REMEP,#7352,REMEP-FLN,99.6000,99.8500,100.0000,99.9966,100.0000,99.9955
7,CERTI,Sede,Disponibilidade CERTI Sede,REMEP-FLN,Conectividade à REMEP,#7302,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9989
8,CI,Blumenau / GENE,Disponibilidade: Instituto GENE,REMEP-BNU,Conectividade à REMEP-BLUMENAU,-,REMEP-BNU,99.2000,99.5000,99.8333,99.9861,99.8333,99.9757
9,CI,Pollen Parque Científico e Tecnológico Chapecó,Disponibilidade: Pollen Parque Chapecó,REMEP-CCO,Conectividade à REMEP CHAPECÓ,-,REMEP-CCO,99.6000,99.8500,100.0000,99.9879,100.0000,99.9649
10,CIASC,Sede,Disponibilidade CIASC Sede,REMEP-FLN,Conectividade à REMEP,#7339,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9991
11,Cidasc,Sede,Disponibilidade CIDASC Sede,REMEP-FLN,Conectividade à REMEP,#7322,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9991
12,Cidasc,São José,Disponibilidade CIDASC São José,REMEP-FLN,Conectividade à REMEP,#7360,REMEP-FLN,99.6000,99.8500,100.0000,99.9987,100.0000,99.9330
13,EBSERH,Hospital Universitário Polydoro Ernani de São Thiago,Disponibilidade UFSC HU,REMEP-FLN,Conectividade à REMEP,#7306,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9989
14,Embrapa,Embrapa Concórdia,Disponibilidade Unidade:  EMBRAPA Concórdia,RNP,Conectividade via RNP,3639,ALT,99.6000,99.6000,99.9699,99.9942,99.9699,99.9897
15,Epagri,EPAGRI CEPAF Chapecó,Disponibilidade: Epagri CEPAF Chapecó,REMEP-CCO,Conectividade à REMEP CHAPECÓ,-,REMEP-CCO,99.6000,99.8500,100.0000,99.9865,98.9144,99.8951
16,Epagri,EPAGRI Escritório Chapecó,Disponibilidade EPAGRI Escritório,REMEP-CCO,Conectividade à REMEP CHAPECÓ,-,REMEP-CCO,99.6000,99.8500,99.9851,99.6077,99.9851,99.5939
17,Epagri,Sede,Disponibilidade EPAGRI Sede,REMEP-FLN,Conectividade à REMEP,#7309,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9965
18,Epagri,São José,Disponibilidade EPAGRI São José,REMEP-FLN,Conectividade à REMEP,#7361,REMEP-FLN,99.6000,99.8500,100.0000,99.9987,100.0000,99.9330
19,Estácio,Florianópolis,Disponibilidade ESTÁCIO Florianópolis,REMEP-FLN,Conectividade à REMEP,#7326,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.1621
20,Estácio,São José,Disponibilidade ESTÁCIO São José,REMEP-FLN,Conectividade à REMEP,#7341,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9989
21,FEESC,Bridge/UFSC,Disponibilidade FEESC LabBridge,REMEP-FLN,Conectividade à REMEP,#7307,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9373
22,FEESC,FEESC Sede,Disponibilidade FEESC Sede,REMEP-FLN,Conectividade à REMEP,#7344,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9989
23,FEPESE,LabTrans Max & Flora,Disponibilidade FEPESE LabTrans,REMEP-FLN,Conectividade à REMEP,-,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9373
24,FEPESE,Laboratório Max & Flora,Disponibilidade FEPESE Laboratório,REMEP-FLN,Conectividade à REMEP,#2285,REMEP-FLN,99.6000,99.8500,100.0000,99.7493,100.0000,99.7493
25,FEPESE,Sede,Disponibilidade FEPESE Sede,REMEP-FLN,Conectividade à REMEP,#7327,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9989
26,FURB,FURB - Campus I,Disponibilidade: FURB Blumenau,REMEP-BNU,Conectividade à REMEP-BLUMENAU,-,REMEP-BNU,99.6000,99.8500,100.0000,99.9869,100.0000,99.9770
27,Fapesc,Sede,Disponibilidade FAPESC Sede,REMEP-FLN,Conectividade à REMEP,#7330,REMEP-FLN,99.6000,99.8500,100.0000,99.9749,100.0000,99.9732
28,Fiesc,IEL CEEL,Disponibilidade FIESC CEEL/IEL,REMEP-FLN,Conectividade à REMEP,#7356,REMEP-FLN,99.6000,99.8500,100.0000,99.9246,100.0000,99.9019
29,Fiesc,Instituto SENAI de Inovação em Sistemas Embarcados,Disponibilidade FIESC SENAI ISI,REMEP-FLN,Conectividade à REMEP,#7321,REMEP-FLN,99.2000,99.6000,100.0000,100.0000,100.0000,99.9978
30,Fiesc,SENAI Florianópolis (CTAI),Disponibilidade FIESC SENAI CTAI,REMEP-FLN,Conectividade à REMEP,#7320,REMEP-FLN,99.6000,99.8500,100.0000,99.9749,100.0000,98.4214
31,Fiesc,SENAI Palhoça,Disponibilidade FIESC SENAI Palhoça,REMEP-FLN,Conectividade à REMEP,#7329,REMEP-FLN,99.6000,99.8500,100.0000,99.5070,100.0000,99.4804
32,Fiesc,SENAI São José,Disponibilidade FIESC SENAI São José,REMEP-FLN,Conectividade à REMEP,#7335,REMEP-FLN,99.2000,99.6000,100.0000,100.0000,100.0000,99.8384
33,Fiesc,SESI São José,Disponibilidade FIESC SESI São José,REMEP-FLN,Conectividade à REMEP,#7343,REMEP-FLN,99.6000,99.8500,100.0000,99.5447,100.0000,99.5054
34,Fiesc,Sede,Disponibilidade FIESC Sede,REMEP-FLN,Conectividade à REMEP,#7332,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9875
35,HC,Hospital da Criança,Disponibilidade: HC Chapecó,REMEP-CCO,Conectividade à REMEP CHAPECÓ,-,REMEP-CCO,99.2000,99.5000,100.0000,98.8950,100.0000,98.8592
36,HRO,HRO Chapecó,Disponibilidade: HRO Chapecó,REMEP-CCO,Conectividade à REMEP CHAPECÓ,-,REMEP-CCO,99.2000,99.5000,100.0000,99.9978,100.0000,99.9978
37,IFC,Abelardo Luz,Disponibilidade Unidade:  IFC Abelardo Luz,RNP,Conectividade via RNP,3644,ALT,99.6000,99.6000,100.0000,98.9284,93.5602,97.6348
38,IFC,Araquari,Disponibilidade Unidade:  IFC Araquari,RNP,Conectividade via RNP,3504,ALT,99.6000,99.6000,100.0000,99.9942,100.0000,98.3208
39,IFC,Brusque,Disponibilidade Unidade:  IFC Brusque,RNP,Conectividade via RNP,3645,ALT,99.6000,99.6000,99.9421,99.9952,99.9421,99.9875
40,IFC,Camboriú,Disponibilidade Unidade:  IFC Camboriu,RNP,Conectividade via RNP,3503,ALT,99.6000,99.6000,99.1250,99.6823,98.8796,97.7425
41,IFC,Concórdia,Disponibilidade Unidade:  IFC Concordia,RNP,Conectividade via RNP,3706,ALT,99.6000,99.6000,100.0000,99.7694,100.0000,99.6717
42,IFC,Fraiburgo,Disponibilidade Unidade:  IFC Fraiburgo,RNP,Conectividade via RNP,3910,MHNET,99.6000,99.6000,100.0000,99.8115,100.0000,99.8100
43,IFC,IFC Blumenau,Disponibilidade: IFC Blumenau,REMEP-BNU,Conectividade à REMEP BLUMENAU,-,REMEP-BNU,99.6000,99.8500,100.0000,99.9909,100.0000,99.8550
44,IFC,IFC Reitoria,Disponibilidade: IFC Reitoria,REMEP-BNU,Conectividade à REMEP BLUMENAU,-,REMEP-BNU,99.6000,99.8500,100.0000,99.9911,100.0000,99.9669
45,IFC,IFC Reitoria Anexo,Disponibilidade: IFC Anexo,REMEP-BNU,Conectividade à REMEP BLUMENAU,-,REMEP-BNU,99.2000,99.5000,100.0000,100.0000,100.0000,100.0000
46,IFC,Ibirama,Disponibilidade Unidade:  IFC Ibirama,RNP,Conectividade via RNP,3602,ALT,99.6000,99.6000,99.5185,99.8755,99.4861,99.8523
47,IFC,Luzerna,Disponibilidade Unidade:  IFC Luzerna,"RCT,RNP",Conectividade via RNP e RCT,"3709, 8002",ALT,99.6000,99.6000,100.0000,99.9985,100.0000,99.7819
48,IFC,Rio do Sul - Sede,Disponibilidade Unidade:  IFC Rio Do Sul - Sede,RNP,Conectividade via RNP,3508,ALT,99.6000,99.6000,100.0000,99.8693,100.0000,99.8693
